idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
201,The family spent a soothing five days in London.,The family spent,a five soothing days,five soothing days,a soothing five days,five soothing days,a five days,a soothing days
202,The family spent a soothing five weeks in London.,The family spent,a five soothing weeks,five soothing weeks,a soothing five weeks,five soothing weeks,a five weeks,a soothing weeks
203,The family spent a soothing five months in London.,The family spent,a five soothing months,five soothing months,a soothing five months,five soothing months,a five months,a soothing months
204,The family spent a soothing five years in London.,The family spent,a five soothing years,five soothing years,a soothing five years,five soothing years,a five years,a soothing years
205,The family spent a soothing five hours in London.,The family spent,a five soothing hours,five soothing hours,a soothing five hours,five soothing hours,a five hours,a soothing hours
206,The family spent a soothing twenty days in London.,The family spent,a twenty soothing days,twenty soothing days,a soothing twenty days,twenty soothing days,a twenty days,a soothing days
207,The family spent a soothing twenty weeks in London.,The family spent,a twenty soothing weeks,twenty soothing weeks,a soothing twenty weeks,twenty soothing weeks,a twenty weeks,a soothing weeks
208,The family spent a soothing twenty months in London.,The family spent,a twenty soothing months,twenty soothing months,a soothing twenty months,twenty soothing months,a twenty months,a soothing months
209,The family spent a soothing twenty years in London.,The family spent,a twenty soothing years,twenty soothing years,a soothing twenty years,twenty soothing years,a twenty years,a soothing years
210,The family spent a soothing twenty hours in London.,The family spent,a twenty soothing hours,twenty soothing hours,a soothing twenty hours,twenty soothing hours,a twenty hours,a soothing hours
211,The family spent a charming three days in London.,The family spent,a three charming days,three charming days,a charming three days,three charming days,a three days,a charming days
212,The family spent a charming three weeks in London.,The family spent,a three charming weeks,three charming weeks,a charming three weeks,three charming weeks,a three weeks,a charming weeks
213,The family spent a charming three months in London.,The family spent,a three charming months,three charming months,a charming three months,three charming months,a three months,a charming months
214,The family spent a charming three years in London.,The family spent,a three charming years,three charming years,a charming three years,three charming years,a three years,a charming years
215,The family spent a charming three hours in London.,The family spent,a three charming hours,three charming hours,a charming three hours,three charming hours,a three hours,a charming hours
216,The family spent a charming five days in London.,The family spent,a five charming days,five charming days,a charming five days,five charming days,a five days,a charming days
217,The family spent a charming five weeks in London.,The family spent,a five charming weeks,five charming weeks,a charming five weeks,five charming weeks,a five weeks,a charming weeks
218,The family spent a charming five months in London.,The family spent,a five charming months,five charming months,a charming five months,five charming months,a five months,a charming months
219,The family spent a charming five years in London.,The family spent,a five charming years,five charming years,a charming five years,five charming years,a five years,a charming years
220,The family spent a charming five hours in London.,The family spent,a five charming hours,five charming hours,a charming five hours,five charming hours,a five hours,a charming hours
221,The family spent a charming twenty days in London.,The family spent,a twenty charming days,twenty charming days,a charming twenty days,twenty charming days,a twenty days,a charming days
222,The family spent a charming twenty weeks in London.,The family spent,a twenty charming weeks,twenty charming weeks,a charming twenty weeks,twenty charming weeks,a twenty weeks,a charming weeks
223,The family spent a charming twenty months in London.,The family spent,a twenty charming months,twenty charming months,a charming twenty months,twenty charming months,a twenty months,a charming months
224,The family spent a charming twenty years in London.,The family spent,a twenty charming years,twenty charming years,a charming twenty years,twenty charming years,a twenty years,a charming years
