,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
193,194,The family spent an enchanting twenty years in London.,The family spent,an enchanting twenty years,twenty enchanting years,an enchanting twenty years,twenty enchanting years,a twenty years,an enchanting years
194,195,The family spent an enchanting twenty hours in London.,The family spent,an enchanting twenty hours,twenty enchanting hours,an enchanting twenty hours,twenty enchanting hours,a twenty hours,an enchanting hours
195,196,The family spent a soothing three days in London.,The family spent,a soothing three days,three soothing days,a soothing three days,three soothing days,a three days,a soothing days
196,197,The family spent a soothing three weeks in London.,The family spent,a soothing three weeks,three soothing weeks,a soothing three weeks,three soothing weeks,a three weeks,a soothing weeks
197,198,The family spent a soothing three months in London.,The family spent,a soothing three months,three soothing months,a soothing three months,three soothing months,a three months,a soothing months
198,199,The family spent a soothing three years in London.,The family spent,a soothing three years,three soothing years,a soothing three years,three soothing years,a three years,a soothing years
199,200,The family spent a soothing three hours in London.,The family spent,a soothing three hours,three soothing hours,a soothing three hours,three soothing hours,a three hours,a soothing hours
200,201,The family spent a soothing five days in London.,The family spent,a soothing five days,five soothing days,a soothing five days,five soothing days,a five days,a soothing days
201,202,The family spent a soothing five weeks in London.,The family spent,a soothing five weeks,five soothing weeks,a soothing five weeks,five soothing weeks,a five weeks,a soothing weeks
202,203,The family spent a soothing five months in London.,The family spent,a soothing five months,five soothing months,a soothing five months,five soothing months,a five months,a soothing months
203,204,The family spent a soothing five years in London.,The family spent,a soothing five years,five soothing years,a soothing five years,five soothing years,a five years,a soothing years
204,205,The family spent a soothing five hours in London.,The family spent,a soothing five hours,five soothing hours,a soothing five hours,five soothing hours,a five hours,a soothing hours
205,206,The family spent a soothing twenty days in London.,The family spent,a soothing twenty days,twenty soothing days,a soothing twenty days,twenty soothing days,a twenty days,a soothing days
206,207,The family spent a soothing twenty weeks in London.,The family spent,a soothing twenty weeks,twenty soothing weeks,a soothing twenty weeks,twenty soothing weeks,a twenty weeks,a soothing weeks
207,208,The family spent a soothing twenty months in London.,The family spent,a soothing twenty months,twenty soothing months,a soothing twenty months,twenty soothing months,a twenty months,a soothing months
208,209,The family spent a soothing twenty years in London.,The family spent,a soothing twenty years,twenty soothing years,a soothing twenty years,twenty soothing years,a twenty years,a soothing years
209,210,The family spent a soothing twenty hours in London.,The family spent,a soothing twenty hours,twenty soothing hours,a soothing twenty hours,twenty soothing hours,a twenty hours,a soothing hours
210,211,The family spent a charming three days in London.,The family spent,a charming three days,three charming days,a charming three days,three charming days,a three days,a charming days
211,212,The family spent a charming three weeks in London.,The family spent,a charming three weeks,three charming weeks,a charming three weeks,three charming weeks,a three weeks,a charming weeks
212,213,The family spent a charming three months in London.,The family spent,a charming three months,three charming months,a charming three months,three charming months,a three months,a charming months
213,214,The family spent a charming three years in London.,The family spent,a charming three years,three charming years,a charming three years,three charming years,a three years,a charming years
214,215,The family spent a charming three hours in London.,The family spent,a charming three hours,three charming hours,a charming three hours,three charming hours,a three hours,a charming hours
215,216,The family spent a charming five days in London.,The family spent,a charming five days,five charming days,a charming five days,five charming days,a five days,a charming days
216,217,The family spent a charming five weeks in London.,The family spent,a charming five weeks,five charming weeks,a charming five weeks,five charming weeks,a five weeks,a charming weeks
217,218,The family spent a charming five months in London.,The family spent,a charming five months,five charming months,a charming five months,five charming months,a five months,a charming months
218,219,The family spent a charming five years in London.,The family spent,a charming five years,five charming years,a charming five years,five charming years,a five years,a charming years
