idx,sentence,prefixes,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
200,The family spent a soothing three hours in London.,The family spent,a soothing three hours,three soothing hours,a three soothing hours,soothing three hours,a three hours,a soothing hours
201,The family spent a soothing five days in London.,The family spent,a soothing five days,five soothing days,a five soothing days,soothing five days,a five days,a soothing days
202,The family spent a soothing five weeks in London.,The family spent,a soothing five weeks,five soothing weeks,a five soothing weeks,soothing five weeks,a five weeks,a soothing weeks
203,The family spent a soothing five months in London.,The family spent,a soothing five months,five soothing months,a five soothing months,soothing five months,a five months,a soothing months
204,The family spent a soothing five years in London.,The family spent,a soothing five years,five soothing years,a five soothing years,soothing five years,a five years,a soothing years
205,The family spent a soothing five hours in London.,The family spent,a soothing five hours,five soothing hours,a five soothing hours,soothing five hours,a five hours,a soothing hours
206,The family spent a soothing twenty days in London.,The family spent,a soothing twenty days,twenty soothing days,a twenty soothing days,soothing twenty days,a twenty days,a soothing days
207,The family spent a soothing twenty weeks in London.,The family spent,a soothing twenty weeks,twenty soothing weeks,a twenty soothing weeks,soothing twenty weeks,a twenty weeks,a soothing weeks
208,The family spent a soothing twenty months in London.,The family spent,a soothing twenty months,twenty soothing months,a twenty soothing months,soothing twenty months,a twenty months,a soothing months
209,The family spent a soothing twenty years in London.,The family spent,a soothing twenty years,twenty soothing years,a twenty soothing years,soothing twenty years,a twenty years,a soothing years
210,The family spent a soothing twenty hours in London.,The family spent,a soothing twenty hours,twenty soothing hours,a twenty soothing hours,soothing twenty hours,a twenty hours,a soothing hours
211,The family spent a charming three days in London.,The family spent,a charming three days,three charming days,a three charming days,charming three days,a three days,a charming days
212,The family spent a charming three weeks in London.,The family spent,a charming three weeks,three charming weeks,a three charming weeks,charming three weeks,a three weeks,a charming weeks
213,The family spent a charming three months in London.,The family spent,a charming three months,three charming months,a three charming months,charming three months,a three months,a charming months
214,The family spent a charming three years in London.,The family spent,a charming three years,three charming years,a three charming years,charming three years,a three years,a charming years
215,The family spent a charming three hours in London.,The family spent,a charming three hours,three charming hours,a three charming hours,charming three hours,a three hours,a charming hours
216,The family spent a charming five days in London.,The family spent,a charming five days,five charming days,a five charming days,charming five days,a five days,a charming days
217,The family spent a charming five weeks in London.,The family spent,a charming five weeks,five charming weeks,a five charming weeks,charming five weeks,a five weeks,a charming weeks
218,The family spent a charming five months in London.,The family spent,a charming five months,five charming months,a five charming months,charming five months,a five months,a charming months
219,The family spent a charming five years in London.,The family spent,a charming five years,five charming years,a five charming years,charming five years,a five years,a charming years
220,The family spent a charming five hours in London.,The family spent,a charming five hours,five charming hours,a five charming hours,charming five hours,a five hours,a charming hours
221,The family spent a charming twenty days in London.,The family spent,a charming twenty days,twenty charming days,a twenty charming days,charming twenty days,a twenty days,a charming days
222,The family spent a charming twenty weeks in London.,The family spent,a charming twenty weeks,twenty charming weeks,a twenty charming weeks,charming twenty weeks,a twenty weeks,a charming weeks
223,The family spent a charming twenty months in London.,The family spent,a charming twenty months,twenty charming months,a twenty charming months,charming twenty months,a twenty months,a charming months
224,The family spent a charming twenty years in London.,The family spent,a charming twenty years,twenty charming years,a twenty charming years,charming twenty years,a twenty years,a charming years
