idx,construction,corrupted_construction,corrupted_sentence
238,"a concise 116,000 words","a 116,000 concise words","With this new update , the now renamed _ Soldiers of Avarice _ has come down to a 116,000 concise words ."
239,a full three feet,a three full feet,"They towered over Aiden and the others by a three full feet , and must have weighed close to a ton ."
240,a good fifty paces,a fifty good paces,"We got to that tunnel up above , that me and you lot were going to break through , but ya could walk a fifty good paces further along before ya met the old collapsed section back in those days ... before the accident . """
241,a good two feet,a two good feet,"The stone floor they stood upon was a two good feet above the waterline , the paving stones showing signs of having been split apart by tremendous force . """
242,a sudden two guys,a two sudden guys,I was minding my own business when all of a two sudden guys came out of nowhere and snatched my bags !
243,a good five minutes,a five good minutes,It was n't until he was gone for a five good minutes my breath returned .
244,a whole eight years,a eight whole years,I 'm a veteran farm hand around these parts and a eight whole years old .
245,a good 200 years,a 200 good years,So over the space of a 200 good years the population
246,a few hundred years,a hundred few years,_ after a hundred few years --- they become as one with the Earth . _
247,a good hundred years,a hundred good years,great continental divide a hundred good years after the flood .
248,a steady 70 degrees,a 70 steady degrees,San Antonio 's temperature stabilized at a 70 steady degrees .
249,a few hundred times,a hundred few times,The tour guide chuckled as if he had not said the same stale joke a hundred few times a day .
250,a steady four hours,a four steady hours,"After a four steady hours working , he was far from finished ."
251,a good ten minutes,a ten good minutes,"I had been tucked into Gugu 's office listening to her whine about her lack of sex life to her newfound friend and one of my worst enemies , Celeste Dubois for a ten good minutes before he spotted me ."
252,a good twenty feet,a twenty good feet,We see they 're a twenty good feet away from what we 'd spotted and hoped to acquire : a small solar - powered generator that had slipped out of a packing crate .
253,a mere twelve stories,a twelve mere stories,The two of us move to the edge of the opening and look down into an alley which is a twelve mere stories beneath us .
254,an additional six years,an six additional years,"In an six additional years , the Peace Corps architectural program was terminated because there were sufficient locally - educated Tunisians coming out of the University to fill the country 's needs ."
255,a good ten minutes,a ten good minutes,"He was there for a ten good minutes and did n't see a soul . """
256,a beautiful day—80 degrees,a day—80 beautiful degrees,Besides it was a day—80 beautiful degrees and sunny .
257,a few hundred yards,a hundred few yards,The town water tower was only a hundred few yards away .
258,a further five miles,a five further miles,"The turn - off to Cooktown was a mile away and there was a forestry track a five further miles from that , just beyond the town of Mossman ."
259,a hard two years,a two hard years,"It 's been a two hard years . """
260,an extra two weeks,an two extra weeks,The play put on by Phinn 's acting troupe in Helsop had been such a success that Dagon was forced to part with a few gold coins from Helsop 's treasury to entice the acting troupe to stay on an two extra weeks .
261,a quick 6 degrees,a 6 quick degrees,I 'll do a 6 quick degrees of separation with conversions so you see the thought process .
262,a good hundred meters,a hundred good meters,"We moved back for a hundred good meters , then I broke her up a little bit faster , kicking my heels into her sides just to give her more enthusiasm , but having reached the bridge again , she suddenly stopped in her tracks ."
263,a whole 15 minutes,a 15 whole minutes,I 'd lain in bed and finally given up after a 15 whole minutes of trying to rest .
264,a good 50 miles,a 50 good miles,"He could n't see her in town if she was stuck in traffic on the highway in Oregon , a 50 good miles away from Eaton ."
265,a good 4 hours,a 4 good hours,"Around the time Sherman was driving me to see Kitty , Jack had collapsed and taken in a 4 good hours of sleep ."
266,a couple hundred bucks,a hundred couple bucks,"After all , an unwanted buck youngster was n't worth much more than ten dollars , but a good wolf pelt could go for upwards of a hundred couple bucks ...."
267,a mere five feet,a five mere feet,"I mean , my height was a five mere feet four inches ."
268,a good fifty pounds,a fifty good pounds,It weighed a fifty good pounds but it was manageable .
