idx,prefixes,aann,default_ann
617,"Even with the part of the trip he 'd shaved off by riding his motorcycle , he still had to have walked",a good forty miles,forty good miles
621,"Crimson streaks ran from the open door of the barn to where the cougar held her now ,",a good ten feet,ten good feet
622,It was,a full five minutes,five full minutes
623,After what seemed to Kara to be,a very long five minutes,five very long minutes
624,After,a very long three minutes,three very long minutes
626,I sat on the steps for,a good ten minutes,ten good minutes
627,I stood there for,a good five minutes,five good minutes
628,It took me,a full five seconds,five full seconds
630,I stared at the unopened message for,a good five minutes,five good minutes
631,He spent,a full five minutes,five full minutes
632,It took me,a good thirty minutes,thirty good minutes
633,I 'd spent,a good five minutes,five good minutes
635,Nikolas glowered at me for,a good ten seconds,ten good seconds
636,Peter lasted,a whole ten minutes,ten whole minutes
642,Gabe stood,a good six inches,six good inches
644,"Squirming around till she was comfortable on the plush leather seat , she lightly rested her hands on Steve 's sides and put",a circumspect six inches,six circumspect inches
646,"Yet they would readily believe a far more unrealistic , bizarre and unnatural tale of his revival from absolute death -- death , which lasted",a full three days,three full days
647,The digital clock blinked 11:52 only,a mere seven minutes,seven mere minutes
648,"Stevey added , "" And I have searched and found nothing so waited patiently for you , Mum ... I knew you would ... and here you are ... only",a mere five hours,five mere hours
649,"After counting the 13 layouts , Roy placed his hand sideways and the doorway appeared revealing the fresh body of the alien that Kelvin had killed",a mere 13 years,13 mere years
650,"Life , for now , would never be the same but they did have another 13 years to prepare for the next visit and hopefully , her name would be - a very pretty Candy - Rose , who had been on the run in the visitor 's ship since she was",a mere fourteen years,fourteen mere years
651,Life was extremely good for the first two years together especially being married after only,a mere 13 months,13 mere months
652,And after,a fucking minuscule 6 months,6 fucking minuscule months
653,"We even knew that she had her medium length blondish hair cut 2 weeks prior her shaggy bob style , dyed red , which we both liked and thought suited her plump pimply face , or that she always waited at least",an easy 15 minutes,15 easy minutes
655,"Returning via the Bandipur National Forest at night , we turned our headlights off for",a full thirty seconds,thirty full seconds
662,Last time it was n't,a full nine months,nine full months
663,We rode in silence for,a good ten minutes,ten good minutes
664,It was at least,a full two minutes,two full minutes
665,It was,an incredibly lonely two weeks,two incredibly lonely weeks
666,Brent was,a good three inches,three good inches
667,Sophie had sent,a further three e - mails,three further e - mails
668,"Whatever the reason was , he went on to kill",a further three women,three further women
675,He waited until the figure was,a mere three steps,three mere steps
676,The town 's business district was,a scant two blocks,two scant blocks
677,Though the furnace thermostat was set to,a frugal sixty degrees,sixty frugal degrees
678,Louis had already gone,a full fifteen rounds,fifteen full rounds
679,He meditated on them for,a full three minutes,three full minutes
681,"He could stand there and knock for as long as it took , and it took",a full five minutes,five full minutes
684,""" I don ' know , "" his 6 ' 2 "" body leaned down to her face that was",a good 6 inches,6 good inches
685,Yolanda was of average height and had,an extra ten pounds,ten extra pounds
688,What,an unusual three weeks,three unusual weeks
690,""" They stayed in the village three days , and it was",a good three days,three good days
692,She scored,a perfect two points,two perfect points
693,"It was one of those hot summer days , which the Nulib nutters invariably cite as proof of "" global warming ; "" when in fact it is",an offsetting ten degrees,ten offsetting degrees
694,I could not find a way out and quite obviously did n't have time to write,a new forty pages,forty new pages
695,It was,a full ten minutes,ten full minutes
700,"So , despite being hit several times by clubs and fists that would have toppled the fiercest among them , Jared achieves",an unsolicited 15 minutes,15 unsolicited minutes
702,"Luckily for me it was the former , though even discounting the time I spent on my pit stops it still took me",a good two hours,two good hours
704,"Thankfully with my arrival here in Alcala a day early , and as Gretna only works during the week , I had lucked into being able to spend",a full two days,two full days
707,"Having timed my return to perfection in order to give myself barely five minutes to prepare for Juliana 's arrival , I had just enough time to check my emails , have a bite to eat , doze off and then spend",a further two hours,two further hours
708,The bus ride was,a good six hours,six good hours
709,Ignoring the audio guide Sandra and I spent,a good two hours,two good hours
710,"Twice bitten three times shy , I had finally learned my lesson and so after asking for a map , which unfortunately they could n't provide , I spent",a good five minutes,five good minutes
712,"When she 'd called Wednesday , he 'd jabbered to her for",a good fifteen minutes,fifteen good minutes
713,"Lucy was slender and tall , but he still towered over her",a good five inches,five good inches
717,He cleared the lower fence by,a good six feet,six good feet
720,"The punctuality of chemists , which Rowan traced to the exacting nature of their work , meant the party was in full swing",a mere ten minutes,ten mere minutes
721,Krimley studied the paper for,a good five minutes,five good minutes
722,"I knew Fisher was referring to Rowan , but I was shocked into silence for",a full ten seconds,ten full seconds
723,Emma studied them for,a good two minutes,two good minutes
727,"The corvette slowly turned west as though steering away from the approaching aircraft , all the while maintaining",a steady eighteen knots,eighteen steady knots
728,"It was n't much , the sequence lasting less than twenty seconds with the camera stationed",a good forty yards,forty good yards
729,"It was another forty minutes before he was relieved , Tanner 's place at the control panel taken by someone much slimmer and",a good twenty years,twenty good years
730,The decommissioned 633 had spent,a full six months,six full months
731,Despite the early attacks the Ministry was not evacuated until,a bare five minutes,five bare minutes
735,It would doubtless make for,a lively one or two days,one or two lively days
736,It had been,a nervous two days,two nervous days
737,It was,a good fifteen minutes,fifteen good minutes
738,It was,a good twenty minutes,twenty good minutes
740,It took Thorn,a good five minutes,five good minutes
741,Yet,a good five minutes,five good minutes
742,Flores was still,a good forty yards,forty good yards
